ID1,ID2,ID3,Kt,theta0
291,218,172,35.0000,1.9111
291,218,202,35.0000,1.9111
291,218,230,80.0000,1.9146
291,305,243,70.0000,2.0351
292,315,266,33.0000,1.8815
293,290,246,63.0000,1.9216
293,290,264,35.0000,1.9111
294,259,203,33.0000,1.8815
294,259,233,37.5000,1.9321
295,259,203,37.5000,1.9321
295,259,233,58.3500,1.9670
295,259,294,37.5000,1.9321
296,330,283,35.0000,2.0665
297,237,190,35.0000,1.9111
297,237,214,35.0000,1.9111
297,237,227,37.5000,1.9321
298,332,288,37.5000,1.9321
299,248,182,35.0000,2.0944
299,248,245,35.0000,2.0944
300,263,207,33.0000,1.8815
300,263,273,37.5000,1.9321
300,263,286,37.5000,1.9321
301,298,236,33.0000,1.8815
302,220,175,80.0000,1.9146
302,220,186,63.0000,1.9391
302,220,212,37.5000,1.9321
303,283,226,33.0000,1.8815
303,283,286,37.5000,1.9321
305,243,198,35.0000,1.9111
305,243,217,35.0000,1.9111
305,243,272,63.0000,1.9216
305,291,218,50.0000,2.1276
306,302,220,37.5000,1.9321
307,250,185,58.3500,1.9670
307,250,216,37.5000,1.9321
307,250,287,58.3500,1.9670
307,274,234,37.5000,1.9321
307,274,240,37.5000,1.9321
308,265,213,70.0000,2.0420
308,265,260,80.0000,2.1991
310,295,258,35.0000,1.9111
310,295,259,80.0000,1.9146
311,321,310,80.0000,2.1450
312,271,215,35.0000,2.0944
312,271,284,35.0000,2.0944
313,230,194,37.5000,1.9321
313,230,209,37.5000,1.9321
313,230,218,58.3500,1.9670
313,355,291,80.0000,1.9146
314,293,277,80.0000,2.1450
314,293,290,70.0000,2.0351
314,326,244,63.0000,1.9216
315,358,302,58.3500,1.9670
316,252,183,63.0000,1.9216
316,252,213,80.0000,1.9146
316,252,269,35.0000,1.9111
317,261,208,80.0000,2.1450
317,261,268,70.0000,2.0351
317,328,270,35.0000,1.9111
319,310,295,38.0000,2.0665
320,272,243,50.0000,2.1276
320,272,257,35.0000,2.0909
320,348,309,35.0000,1.9111
321,310,295,50.0000,2.1276
321,310,319,35.0000,2.0909
321,343,298,63.0000,1.9391
322,274,234,33.0000,1.8815
322,274,240,33.0000,1.8815
322,274,307,37.5000,1.9321
323,287,250,37.5000,1.9321
323,287,251,33.0000,1.8815
324,340,280,33.0000,1.8815
325,332,288,33.0000,1.8815
325,332,298,37.5000,1.9321
326,244,181,70.0000,2.0351
326,244,238,80.0000,2.1014
326,314,293,50.0000,2.1276
327,343,298,80.0000,1.9146
327,343,321,63.0000,1.9216
328,317,261,50.0000,2.1276
328,354,318,80.0000,2.1014
329,316,252,38.0000,2.0665
330,283,226,35.0000,1.9111
330,283,286,80.0000,1.9408
330,283,303,35.0000,1.9111
331,273,210,35.0000,1.9111
331,273,263,37.5000,1.9321
331,273,267,35.0000,1.9111
332,298,236,37.5000,1.9321
332,298,301,37.5000,1.9321
333,313,230,37.5000,1.9321
334,314,293,35.0000,2.0909
334,314,326,38.0000,2.0665
336,287,250,37.5000,1.9321
336,287,251,33.0000,1.8815
336,287,323,33.0000,1.8815
337,253,200,50.0000,2.1276
337,253,231,38.0000,2.0665
337,363,335,37.5000,1.9321
338,302,220,37.5000,1.9321
338,302,306,33.0000,1.8815
339,313,230,37.5000,1.9321
339,313,333,33.0000,1.8815
341,267,204,80.0000,2.1450
341,267,273,70.0000,2.0351
341,348,309,35.0000,1.9111
341,348,320,63.0000,1.9216
343,298,236,37.5000,1.9321
343,298,301,37.5000,1.9321
343,298,332,58.3500,1.9670
343,321,310,70.0000,2.0351
343,321,311,80.0000,2.1014
343,327,276,38.0000,2.0665
344,382,340,37.5000,1.9321
345,337,253,35.0000,1.9111
346,320,272,80.0000,2.1450
347,307,250,37.5000,1.9321
347,307,274,37.5000,1.9321
348,320,272,70.0000,2.0351
348,320,346,80.0000,2.1014
348,341,267,50.0000,2.1276
349,286,254,33.0000,1.8815
